pitchfork_id,album,album_id,artist,artist_id
56,throne,3BNhEhJDPzY4V0neuvTR9W,heather leigh,6hbrLZHacHcXTeJ8wWqBQp
57,utopia teased,3K6PMtwTxhCo5aJ2XMehT7,stephen steinbrink,5i74r8NAl9N4v6S3C9mgcc
59,young heartthrob,7lmS1zDxOuTlJrJ8C1NHEW,kodie shane,1CUeN4GnHAGUk9nAXPorF4
60,brace up!,2JmJbAsXtJDqaTTdLaf2vt,"chris corsano, bill orcutt","6eozRDXAMzUv0aXz74fE50,49ECnwhYzm6Nu97puMvwjG"
61,heavy down pour ep,2ttHALMJhksay7q4CTJmRq,zubin,1vIaxFdUqoomLknL0lolif
63,merrie land,3OCV0CcPqayHyPUqtjWcOT,"the good, the bad & the queen",6iy8nrBbtL57i4eUttHTww
64,from the dirt,5SvBc5OSrELTy9AaA2bkLl,waajeed,4dXRZcf1AdzvwZ9AiRIsmT
65,breakfast,6gDMU8mOcnQkeGQIII7Lg3,the samps,1helJuXj1r3qdNCDjptKI6
66,championships,6UYZEYjpN1DYRW0kqFy9ZE,meek mill,20sxb77xiYeusSH8cVdatc
66,championships,0psMalUoERrqQWc2sfWIrv,meek mill,20sxb77xiYeusSH8cVdatc
70,warm,2XTPulCL6EUx1thyJPnlmj,jeff tweedy,2rDxtYUzTAYJJE3Bl3Z5IN
71,dummy boy,4f8pX9Vjs9uU5aKjqDNcDO,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf
72,spencer sings the hits!,3POexz0ZHcPbaNtbBO6bCF,jon spencer,5q6Nhg9lGUeSjODDdctHvN
73,like memory foam,6gzQtP2re3GgiEYRfFCebd,didi,3pTFDPZ4NHLSBfMxgDAXUB
74,homework,5uRdvUR7xCnHmUW8n64n9y,daft punk,4tZwfgrHOc3mvqYlEYSvVi
75,songs for judy,29ZBwX9gONWffm1G1OIepE,neil young,6v8FB84lnmJs434UJf2Mrm
76,tommy genesis,5c5i8rgLzFHNI5Y3Wc1C39,tommy genesis,2qDdxfKUpYg8wc49KIuT3b
77,the bela session,6hOBzGBmyvoPu7ZFAoLP2m,bauhaus,5N5tQ9Dx1h8Od7aRmGj7Fi
78,ens,0W16hZmIKUhGe1dHM019J7,beast,2EpXYpjSl4VG6w3W0SvK1X
79,some rap songs,66at85wgO2pu5CccvqUF6i,earl sweatshirt,3A5tHz1SfngyOZM2gItYKu
81,magnetic memory,5vyntM21u5C8mNz9tgkSzy,hprizm,0YIRvV4i3BIk1uRGM2Mdtt
82,anne,3Azclf786vim7jMEXfDceG,joseph shabason,7xoTSPGUr9u8FWR4G8AWoS
83,a brief inquiry into online relationships,6PWXKiakqhI17mTYM4y6oY,the 1975,3mIj9lX2MWuHmhNCA7LSCW
84,look now look again,56YkqH5Vv03PAeMzcuQzoQ,rainer maria,5OUVzPFZebtoZFs85MIQpz
85,the dream my bones dream,2iYSPsuEQwrAC8keYKRlpI,eiko ishibashi,0E2zPwLuNlSFdSI5wmqox7
86,"""ouch""",31Ct4E6ToONwOhBc8hGB9A,nicholas krgovich,68QhSfYuqyiT1KPoHlCvSv
88,creed ii: the album,7kSa9AwcDQ6ZUScaXxp8zP,mike will made-it,0NWbwDZY1VkRqFafuQm6wk
88,creed ii: the album,6kQtj2I4sho5Am42swFq0B,mike will made-it,0NWbwDZY1VkRqFafuQm6wk
89,daily routine,4EXOXQIOdPmG3uqFKmCGN4,peder mannerfelt,3IuyAl5gMAvYhn0VjRzC1g
90,terminal,0vkzjnyz6byUlDsF5LyzAd,zuli,5Kur13kkU4pOoNFAE8K0YF
92,moriyama ep,2xf59XoPYvDAMlTZhXm6kK,foodman,4e8VeCyfFRBL1e06oGg1dR
93,fever focus ep,30qym0cahQkHnaqdo3g0jq,jacques greene,0ygIgsjUzKivFgxgjQ9iV9
94,the fuzz ep,1f3Zh1IS7yMNLFU2G0lPOG,ellis,7EQmY1hAAeuJLa0GUNpKNN
