pitchfork_id,album,album_id,artist,artist_id
15681,greatest hits,5gbrmpJJgTDDvbXTD5Yfu1,morrissey,1H1WSlWfIs7iza4sUa7pza
15682,slick dogs and ponies,4wpUiOOvDxt6fgyOTR4uNP,louis xiv,60NKN6tZYKbkjX1qpFQIqF
15683,snowbeast,3LbJFtmcT0O0GScfmXoOWQ,luke temple,6MUv39LOn5bz2QW4SBKE85
15685,no ground under,4LJtkOHd280HO6KlPTYAE4,ghislain poirier,4hAuKAt7R8K8lYNllKexiH
15686,the assassination of jesse james by the coward robert ford,6RzRjlvdLSDwkx8bMHyPLs,nick cave||warren ellis,"1RM5gp0RFfjpJhCYFPB30p,0A8tch4LePxVn1Cn60wGXu"
15688,terrific seasons,6UUJtxQXHA6p1YZdW2PAmW,these are powers,2m4YlNFkdSmjWWnWMtkunR
15689,gyllyng street,67aouI1p3kkHIRzo4CT5Pw,songs of green pheasant,0VS8UpgOSp2a22HM5ONy4y
15690,hammer of the gods,4imHTPQ6yjzDGld2NSXMAE,bottomless pit,0ejW8mYIemsZ96MFsdtcbf
15691,field manual,7wHZ1t8k2FQHTZFmGaC2HW,chris walla,4UP7ibAacJ5joROTv4ShG5
15693,live at low end theory,0LNqTwQEab8zSQzEhQEgIH,daedelus,1YRGQOk4Mk9EpM6nTJhXtK
15696,women as lovers,3bNiRzoqf51sfh3Zye1sXA,xiu xiu,5JLqvjW3Nyom2OsRUyFsS9
15698,take to the skies,3ybNKmtDLq8JTBlLXVRNPl,enter shikari,31jvzuB4ikftPQZJwrYfCF
15698,take to the skies,2X25o9oF7p4fRSoLQZXbdj,enter shikari,31jvzuB4ikftPQZJwrYfCF
15698,take to the skies,5cO7wtkaJCY3SiV6g0MKHE,enter shikari,31jvzuB4ikftPQZJwrYfCF
15698,take to the skies,51ftIoNTd5J2lbTGItNEb8,enter shikari,31jvzuB4ikftPQZJwrYfCF
15699,the evening descends,5jczJ4wpYJ1YOuUFnrMwK3,evangelicals,1rseIU9GBRFvJ0X7SXgC3X
15703,little eyes,5OlVqslTPMFmQwwCI3Z9Ve,ed askew,6dkNBFTQ8DdQpfYxmi3kIB
15704,superman was a rocker,3nfonGXIEwhUTZk7Z1rehV,robert pollard,0L8gNE8U7v7YvefZenVKo5
15706,vampire weekend,7n8NJkGKAl2np1bXiRn0CY,vampire weekend,5BvJzeQpmsdsFp4HGUYUEx
15707,science fiction illustrated,5UsfOLAYGu0mJWql0Kh6yB,mother and the addicts,7qC7KkQvU0XAQQ1mL81kA5
15708,arms,30j9h1FXahLCUJYrhKyJ4K,zs,0qEuBxmSxYfz0dsDmk8gqk
15710,light works,2hmrtcMNWe89ml1Pge0cPm,aloha,10djO7vMVmXVsOwxadXEvv
15711,brighter than creation's dark,4iOZcdVCjvzbqaUIqL6p5c,drive-by truckers,1rXr1ZnvbRoYBaedIl9v4v
15712,sabotage gigante,0UHm6keMf9jXByH4g7iGWY,rob sonic,0JQiT3MRJw3WsT2MT80qTR
15713,the street lights have been turned down,6ck6MqqNF75DUf18xCtFpF,zillionaire,6YFcOtVC8seyQh4XvpnXFR
15714,parallel suns,0Gk16vJaCjqrM9mdJc4jv4,samara lubelski,7m0vo8YcqFNXFOoKycpOES
15717,the alchemist,4AS0UGaVK53h8KxA2HJYy6,witchcraft,3HVmba1wHgrLVsVC5IIzkG
15721,in the future,6Px7D6BKZIj4DuaRWsADBe,black mountain,00sAr10UTV1JZtHqxsLVn4
15725,rip it off,69oN3y1WXYJOsXrC51pL9L,times new viking,0oFIPnarjYKDTVgNQU0bbo
15726,lullaby for liquid pig,4KqbcN4ZLsoJfubx8FB5mD,lisa germano,5TZqjmYL8p9HtJsBKXCxgE
15727,the best of lisa gerrard,6nZq8HA36VB2WGzGVEtAEr,lisa gerrard,3C4MmUJYQN9svNdedAR2BK
15727,the best of lisa gerrard,7nYbqoA1XSGJ1WMQyqYdOb,lisa gerrard,3C4MmUJYQN9svNdedAR2BK
15728,epic fits,7HoWcWq9YzEvmo8cOJaMBh,pre,6uHfkQDEttQGu62GtdNQIL
15729,ragged rubble,6lpL3sgUHW2hBV1kZgU9Rx,double dagger,3eSfw679zLtYIeYaBW1yI7
15730,liferz,5G5paYVLAOBh2FbOhTOvBM,blood on the wall,7wdpY0h6S2unadfAb3f2Qc
15731,jukebox,2uhG1PSozFcBPi4ASO0UH7,cat power,6G7OerKc3eBO9sVkRNopFC
15732,level live wires,5O1CxUyC8ICgy7OHGeHZIa,odd nosdam,5pQjRhCKmFtkDZSy67Z0tp
15735,soldier on ep,0JhYSM3WZ1hCIP5ltfOpVi,andrew bird,4uSftVc3FPWe6RJuMZNEe9
15736,boscoe,2CHnpUBezgp8RnspkueUuC,boscoe||the four mints||johnny lunchbreak||propinquity,2XPtKIOttOrkLpPQmrgKAO
15738,juices!,1gG2KFb66EoIsnL8PXv6TU,the cansecos,6eeDKEYMyyeMtUEZ2KGPBE
15741,the leak ep,2O2R5NCEtf1kaJhvuNyPyT,lil wayne,55Aa2cqylxrFIXC767Z865
15741,the leak ep,3MqtFRmZhB4BVhHgJbl4nz,lil wayne,55Aa2cqylxrFIXC767Z865
15743,ecstatic eyes glow glossy,63rO4ajVHG8jrniTsnSP7E,mass shivers,4XsYqnqTJhrRNOxTxC9BZe
15743,ecstatic eyes glow glossy,3OdIxwPDo3zNHfg6BLalrL,mass shivers,4XsYqnqTJhrRNOxTxC9BZe
15744,run from safety,1xCpaCq1gvg8dvGTK26XW2,octoberman,4jH34yA4SMurS8YaBS1zWV
15747,silver storms,2DsMjJpEyReIkXIFiKGyo6,the a-sides,02mT6P1v66bhBigeioLHwu
15750,sea from shore,7vBnnHwFMQpgtW26Az3ilT,school of language,5nYg8XQXXBVTDPphRLBsfX
15750,sea from shore,73cF121equx3PGld0WRLDm,school of language,5nYg8XQXXBVTDPphRLBsfX
15752,the captain's table,29VfANO2neIoKkUVYng3KH,ham1,4YuErzVXK783rvgj9tWVlW
15753,deuteronomy,063L5RtDmKeKtRKV7jZ55t,the intelligence,6BvibnsgeiKxzkBkSCwGiM
15755,private times in public places,0XqlSwg8wETJhx07HYazrf,slow six,0l1uqSTplgoIFFPDckr2I9
