pitchfork_id,artist,album,score,link,release_year
72,Chuck Johnson,The Cinder Grove,7.6,/reviews/albums/chuck-johnson-the-cinder-grove/,2021
73,"Black Country, New Road",For the first time,7.4,/reviews/albums/black-country-new-road-for-the-first-time/,2021
74,Sarah Mary Chadwick,"Me and Ennui Are Friends, Baby",7.8,/reviews/albums/sarah-mary-chadwick-me-and-ennui-are-friends-baby/,2021
77,Foo Fighters,Medicine at Midnight,4.7,/reviews/albums/foo-fighters-medicine-at-midnight/,2021
78,Nancy Sinatra,Start Walkin’ 1965-1976,8.1,/reviews/albums/nancy-sinatra-start-walkin-1965-1976/,2021
80,Sylvester,Step II,9.2,/reviews/albums/sylvester-step-ii/,1978
81,The Staves,Good Woman,6.9,/reviews/albums/the-staves-good-woman/,2021
82,The Weather Station,Ignorance,9.0,/reviews/albums/the-weather-station-ignorance/,2021
83,Ryan Sambol,Gestalt,7.7,/reviews/albums/ryan-sambol-gestalt/,2021
84,Sun June,Somewhere,6.8,/reviews/albums/sun-june-somewhere/,2021
85,Yu Su,Yellow River Blue,7.6,/reviews/albums/yu-su-yellow-river-blue/,2021
86,Tha God Fahim||Your Old Droog,Tha Wolf on Wall St,7.2,/reviews/albums/tha-god-fahim-your-old-droog-tha-wolf-on-wall-st/,2021
87,Cristian Vogel,Rebirth of Wonky,7.4,/reviews/albums/cristian-vogel-rebirth-of-wonky/,2021
88,Florian T M Zeisig,Music for Parents,6.6,/reviews/albums/florian-t-m-zeisig-music-for-parents/,2021
92,TV Priest,Uppers,7.0,/reviews/albums/tv-priest-uppers/,2021
93,Gacha Bakradze,Obscure Languages,6.8,/reviews/albums/gacha-bakradze-obscure-languages/,2021
94,Madlib,Sound Ancestors,7.9,/reviews/albums/madlib-sound-ancestors/,2021
95,CARM,CARM,6.5,/reviews/albums/carm-carm/,2021
96,Portrayal of Guilt,We Are Always Alone,7.8,/reviews/albums/portrayal-of-guilt-we-are-always-alone/,2021
97,A Winged Victory for the Sullen,Invisible Cities,6.9,/reviews/albums/a-winged-victory-for-the-sullen-invisible-cities/,2021
98,Weezer,OK Human,5.8,/reviews/albums/weezer-ok-human/,2021
99,The Notwist,Vertigo Days,7.0,/reviews/albums/the-notwist-vertigo-days/,2021
100,Arlo Parks,Collapsed in Sunbeams,6.7,/reviews/albums/arlo-parks-collapsed-in-sunbeams/,2021
103,Nermin Niazi||Feisal Mosleh,Disco Se Aagay,7.4,/reviews/albums/nermin-niazi-feisal-mosleh-disco-se-aagay/,2021
104,Goat Girl ,On All Fours,7.1,/reviews/albums/goat-girl-on-all-fours/,2021
