pitchfork_id,artist_name,popularity,artist_id,followers,genres
15026,Tift Merritt,41,2jL1PBvL0gBZBPk6B38p3z,29852,alternative country|ectofolk|folk|lilith|new americana|north carolina roots|outlaw country|singer-songwriter
15027,Grand Ole Party,16,401G4d4MVbFotWhHCwjDYL,1812,
15028,Bauhaus,57,5N5tQ9Dx1h8Od7aRmGj7Fi,467745,alternative rock|dark wave|dream pop|gothic rock|new wave|post-punk
15030,Gnarls Barkley,68,5SbkVQYYzlw1kte75QIabH,404208,atl hip hop|neo soul
15031,White Hinterland,29,4yBP36OGJNfQLqiI6IWQqv,11216,experimental pop|experimental r&b|metropopolis
15032,Howlin Rain,17,0BfBRvmhpZQNSWI6SxJIKn,6097,alternative roots rock|bay area indie|oakland indie
15035,Destroyer,50,22ojy4H4ZVpowC4lRRC8In,140217,alternative dance|alternative rock|art pop|canadian indie|chamber pop|chillwave|dream pop|freak folk|garage psych|indie folk|indie pop|indie rock|modern rock|noise pop|vancouver indie
15036,Mike Doughty,42,7GiYUU4EMCOMkpaDD8fzDR,29907,
15037,Danava,22,7peuJpsA6lf6zQsVokZKt9,8784,portland metal|retro metal
15038,Adam Green,42,3RyJG8xp58XSmsiuIySzUj,49074,anti-folk
15039,Retribution Gospel Choir,10,2AGdUsPdv1Z41wlVo24648,1606,duluth indie
15042,Einstürzende Neubauten,45,7KomCxZv6D5qCVvefwMnwB,137009,ebm|experimental|experimental rock|industrial|industrial rock|neue deutsche welle|post-punk
15043,The Dodos,42,10tysauSA5JATqniBDu2Ed,70261,bay area indie|freak folk|indie pop|indie rock|stomp and holler
15044,Elf Power,23,4GHF2TzZ7lTe8qNvLl8R01,9970,athens indie|elephant 6|gbvfi|lo-fi
15045,Electric Six,55,4xNadaO5ZZLVJdqDIVVIua,122629,alternative rock|dance-punk|garage rock
15047,Fight Amp,12,0nksbyCiDk5MaJ9Hor85a4,3491,atmospheric doom
15048,We Are Scientists,49,35YNL4wwv11ZkmeWWL51y7,195410,alternative dance|dance-punk|indie rock|modern rock|new rave
15049,The Kills,57,5BYuBzqmTXwUDw2rYkwExr,568941,alternative dance|alternative rock|dance-punk|garage rock|garage rock revival|indie rock|modern blues rock|modern rock|new rave|rock
15050,Shelby Lynne,45,3xx17YXYvPl9PBx6Jzalk4,37143,folk|lilith|new wave pop
15051,Amir ElSaffar,13,54pL7FBA9bzmu4dad4CyyT,1428,arabic jazz
15052,Marah,19,6reL7Hq6obyCxSqurc8i1D,3835,alternative country|philly indie|roots rock
15054,be your own PET,43,60oPm94IK14iPqnGwkbw8x,24321,nashville indie|riot grrrl
15055,Black Spade,25,7C83J5lWbdshWPFN7qFv8f,952,
15056,These New Puritans,31,7w0e6inAfRWIEb9tWVgB7a,29286,dance-punk|essex indie|grave wave|new rave
15058,Chatham County Line,38,3M2LPcqyD4PxbOFvtF05R7,18139,banjo|bluegrass|mandolin|new americana|north carolina roots|progressive bluegrass
15059,The Big Sleep,9,4Qvx32a9bDDvtA5byjUnqI,1593,stomp pop
15060,Ministry,56,1DXylZlWbVvlckNqwvjTEt,350016,alternative metal|double drumming|industrial|industrial metal|industrial rock|nu metal|rap rock
15062,Crystal Castles,67,7K3zpFXBvPcvzhj7zlGJdO,900604,alternative dance|bitpop|dance-punk|digital hardcore|electronica|indietronica|neo-synthpop|new rave|nintendocore|nu gaze
15063,Fuck Buttons,35,6tCENAD2FBfIMyygJMeOJV,52407,bristol electronic
15064,The Exit Strategy,0,6wjCH9PHyDdWt2i4w94xyX,2,
15065,Richard Youngs,17,1rMkroCNvGAk4kO6I1j5A3,2900,experimental folk|experimental psych|free folk|scottish indie folk
15066,Snoop Dogg,87,7hJcb9fa4alzcOq3EaNPoG,6879920,g funk|gangster rap|hip hop|pop rap|rap|west coast rap
15067,Neon Neon,27,0GHcMuYNbDXb8cfJ7I5PsD,8121,welsh indie
15068,The Slits,46,5O0RrEgz4NLCPLrDZiPggz,85004,alternative rock|dance-punk|experimental|no wave|post-punk|punk|riot grrrl|uk post-punk
15070,A Weather,9,2wAXyQMFmSGlLzSpJYbjTE,1076,
15071,Plants and Animals,40,1pzNRIDRT064HEdW1nG59c,23517,canadian indie|indie quebecois|piano rock|quebec indie|stomp and holler
15073,No Kids,6,0cu5pWAIPFwstvulkPRWEY,679,vancouver indie
15077,Eric Matthews,16,0nB3pjuIbbeEA3Gzg0F8Hw,1323,chamber pop
15078,The Ocean,47,6fuALtryzj4cq7vkglKLxq,87886,alternative metal|atmospheric post-metal|atmospheric sludge|djent|jazz metal|post-metal|post-rock|progressive metal|progressive sludge|sludge metal
15080,WHY?,47,0d7aBBLFcc4dlETnae6zcH,73964,abstract hip hop|anti-folk|bay area indie|freak folk|indie rock
15081,Ida,23,59sabZEdH1o4BqCUzXGmd7,3307,melancholia|slowcore
15083,Panther,25,24COjVnliRukOb6uWcj99B,194,one-person band
15084,Kelis,71,0IF46mUS8NXjgHabxk2MCM,410261,dance pop|electropop|hip pop|neo soul|r&b|urban contemporary
15085,She & Him,51,3CIRif6ZAedT7kZSPvj2A4,379283,adult standards|indie pop
15086,Genghis Tron,41,5xIZimpMAfvZjQcgFKBCKl,21567,american grindcore|chaotic hardcore|cybergrind|grindcore|mathcore|nintendocore|post-doom metal|post-metal
15087,Throw Me The Statue,20,7rBLqDUx8PJOXixg9EBMfS,5175,seattle indie|stomp pop
15089,Sambassadeur,22,3PvNSturlrBV4aYdMJAyOH,6625,c86|metropopolis|swedish indie pop|twee pop
15090,The Ruby Suns,27,5qnkr4yiMJnEvxZm3IFTkZ,6536,auckland indie|nz indie
15092,What Made Milwaukee Famous,15,1CoxagOc4rOoH1kPRqtL09,2199,austindie|stomp pop
15093,Promise And The Monster,23,7M9SZIojabB1ukKSYEz2TM,3798,etherpop|swedish indie folk|swedish singer-songwriter
15094,Headlights,18,1ESgG9tU1N0xCyVyA4TfYa,2881,
15095,Clark,49,6kic5bCjlohhDn9KzXbOta,98775,ambient|art pop|bass music|chamber psych|drill and bass|electronica|intelligent dance music|microhouse|ninja|wonky
15097,Major Stars,2,6KUDl5ikzfDYeEg3ovcXNX,617,drone rock
15098,Warbringer,43,4UKKKGkjNWx8KTUvea66k1,76031,metal|new wave of thrash metal|speed metal|thrash metal
15100,Autechre,49,6WH1V41LwGDGmlPUhSZLHO,154967,abstract|ambient|ambient techno|deep idm|drill and bass|drone|electro|electronica|experimental|fourth world|glitch|intelligent dance music|microhouse|ninja|techno|uk experimental electronic
15101,Jack Peñate,43,1VyVjE6tvQiM8T8a3WcYQd,47099,new rave
15102,Blood Meridian,2,5LOylW7g2Apbu1u63jZnAP,266,
15103,Joe Lally,12,1sbo1L9XfmgiWMFsL5xNjf,3020,
15104,Cadence Weapon,39,179CHqJZlZwKBQhjcOeAOS,5338,alberta hip hop|canadian hip hop|experimental hip hop
15105,The Gutter Twins,27,0hFSUykrqfVXac7E3ZpiaH,16977,supergroup
15106,Dub Trio,34,5oToGR9YFfpwBmXleDpB7T,16415,funk metal
15107,Son Lux,60,3kZdsaTYgaaolNxpnJ4iDe,253923,abstract hip hop
15109,Kelley Polar,15,5EF80OgEZjCLwEoii0RlEp,1603,balearic
15110,Stephen Malkmus & The Jicks,41,7wyRA7deGRxozTyBc6QXPe,58778,alternative rock|freak folk|garage psych|gbvfi|indie rock|lo-fi|portland indie
15111,Kiln,26,4o8gQusNwY2HBCBzjoIRPC,6194,indie electronica
15112,The Dirtbombs,36,4wPKtZH8mW0PdLeWPneweb,23170,detroit rock|double drumming|garage pop|garage rock|punk blues|trash rock
15113,The Jet Age,0,1zEqtJNRsNyk1Vt1EYT1Sb,69,dc indie
15114,Earth,41,4mTFQE6aiehScgvreB9llC,78598,dark jazz|doom metal|drone|drone metal|gaian doom|instrumental rock|olympia wa indie|post-doom metal|post-metal|post-rock|space rock
15115,Fleet Foxes,70,4EVpmkEwrLYEg6jIsiPMIb,1108068,chamber pop|freak folk|indie folk|indie pop|indie rock|seattle indie|stomp and holler
15117,Guilty Simpson,44,0Zji66LHK0QCC8AUMuyp3h,35016,alternative hip hop|boom bap|detroit hip hop
15119,Valet,10,65eQz8tfZyW3xMNpvJ79Lj,1787,american shoegaze|experimental psych
15120,Sia,90,5WUlDfRSoLAfcVSX1WnrxN,19632997,australian dance|australian pop|pop
15121,The Pine Hill Haints,22,7mZErmrAcZQTrk9oswrhqA,4360,alabama indie|deathgrass|gothic americana
15122,Kutiman,46,0sDJfnuudhMaEmFPvALK2e,37194,afrobeat|israeli indie
15124,El Perro del Mar,38,0bnwha8WPTU2sf4Q4P6vE0,37018,gothenburg indie|swedish indie pop|swedish synthpop
15126,The Acorn,29,1fQObup5M4oSgLVDBnt22v,11181,canadian indie folk|ontario indie|ottawa indie
15127,David Thomas Broughton,17,5Sw6dj1ghCjEdkFO5InB8A,3197,freak folk|yorkshire folk
15129,Beach House,74,56ZTgzPBDge0OvCGgMO3OY,1157988,art pop|baltimore indie|dream pop|indie pop|indie rock|modern dream pop
15130,Mike Bones,5,0jHpZCIXk9PnVNjxobXVLM,151,deep indie pop
15131,Matt Costa,48,0EghvcisxKybq4CVO7rB5t,70596,neo mellow
15132,Steve Reid Ensemble,3,5cXCMQRjRBX8v0bhiaXoYc,194,
15133,Goldfrapp,58,5BKsn7SCN2XmbF7apdCpRS,446656,alternative dance|art pop|big beat|dance pop|electronica|electropop|neo-synthpop|new rave|new wave pop|pop rock|trip hop
